art_id;type;year;title;pages_start;pages_end;booktitle;journal_series;journal_editor;journal_volume;journal_isbn;url
series/class/LovaglioV13;Article;2013;Component Analysis for Structural Equation Models with Concomitant Indicators.;209;215;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#LovaglioV13
series/class/Dias13a;Article;2013;Model-Based Clustering of Multistate Data with Latent Change: An Application with DHS Data.;189;196;Classification and Data Mining;;;;;db/series/class/class364228893.html#Dias13a
series/class/Stork0S13;Article;2013;Cluster It! Semiautomatic Splitting and Naming of Classification Concepts.;365;373;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Stork0S13
series/class/SchiffnerGHALW13;Article;2013;Identification of Risk Factors in Coronary Bypass Surgery.;287;295;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#SchiffnerGHALW13
series/class/MatternVR13;Article;2013;A Case Study About the Effort to Classify Music Intervals by Chroma and Spectrum Analysis.;519;528;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#MatternVR13
series/class/AkkucukCF13;Article;2013;Visualizing Data in Social and Behavioral Sciences: An Application of PARAMAP on Judicial Statistics.;147;154;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#AkkucukCF13
series/class/Villar-PatinoMC13;Article;2013;Interactive Principal Components Analysis: A New Technological Resource in the Classroom.;185;193;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#Villar-PatinoMC13
series/class/RuschMH13;Article;2013;Linear Logistic Models with Relaxed Assumptions in R.;337;344;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#RuschMH13
series/class/HofmarcherGHM13;Article;2013;Determining the Similarity Between US Cities Using a Gravity Model for Search Engine Query Data.;243;250;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#HofmarcherGHM13
series/class/Thai-NgheGS13;Article;2013;An Evaluation Measure for Learning from Imbalanced Data Based on Asymmetric Beta Distribution.;121;129;Classification and Data Mining;;;;;db/series/class/class364228893.html#Thai-NgheGS13
series/class/DragoLS13;Article;2013;Beanplot Data Analysis in a Temporal Framework.;115;122;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#DragoLS13
series/class/Sulis13;Article;2013;A Further Proposal to Perform Multiple Imputation on a Bunch of Polytomous Items Based on Latent Class Analysis.;361;369;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#Sulis13
series/class/ChiodiADL13;Article;2013;Clustering and Registration of Multidimensional Functional Data.;89;97;Statistical Models for Data Analysis;;;;;db/series/class/class331900031.html#ChiodiADL13
series/class/BalzanellaV13;Article;2013;Summarizing and Detecting Structural Drifts from Multiple Data Streams.;105;112;Classification and Data Mining;;;;;db/series/class/class364228893.html#BalzanellaV13
series/class/RotterVW13;Article;2013;Computational Prediction of High-Level Descriptors of Music Personal Categories.;529;537;Algorithms from and for Nature and Life;;;;;db/series/class/class331900034.html#RotterVW13
series/class/Sciascia13;Article;2013;Calibration with Spatial Data Constraints.;89;94;Classification and Data Mining;;;;;db/series/class/class364228893.html#Sciascia13
series/class/BertacciniV13;Article;2013;Robust Random Effects Models: A Diagnostic Approach Based on the Forward Search.;3;10;Classification and Data Mining;;;;;db/series/class/class364228893.html#BertacciniV13
series/class/IannarioP13;Article;2013;A Model-Based Approach for Qualitative Assessment in Opinion Mining.;113;120;Classification and Data Mining;;;;;db/series/class/class364228893.html#IannarioP13
series/class/RomanoM13;Article;2013;Outlier Detection for Geostatistical Functional Data: An Application to Sensor Data.;131;138;Classification and Data Mining;;;;;db/series/class/class364228893.html#RomanoM13
