art_id;author;pos
series/tmsc/Wang01;Dongming Wang;0
series/tmsc/Ben-IsraelG02;Adi Ben-Israel;0
series/tmsc/Ben-IsraelG02;Robert Gilbert;1
series/tmsc/Schwarz12;Fritz Schwarz;0
series/tmsc/Sturmfels08;Bernd Sturmfels;0
series/apc/KowalikP12;Janusz S. Kowalik;0
series/apc/KowalikP12;Tadeusz Puzniakowski;1
series/isc/Applebaum14;Benny Applebaum;0
series/isc/HazayL10;Carmit Hazay;0
series/isc/HazayL10;Yehuda Lindell;1
series/isc/Bella07;Giampaolo Bella;0
series/isc/DelfsK07;Hans Delfs;0
series/isc/DelfsK07;Helmut Knebl;1
series/isc/Bohme10;Rainer B?hme;0
series/isc/BoydM03;Colin Boyd;0
series/isc/BoydM03;Anish Mathuria;1
series/isc/Yekhanin10;Sergey Yekhanin;0
series/hci/Osherenko14;Alexander Osherenko;0
series/hci/Steimle12;J?rgen Steimle;0
series/hci/BinderLM09;Thomas Binder;0
series/hci/BinderLM09;Jonas L?wgren;1
series/hci/BinderLM09;Lone Malmborg;2
series/hci/AignerMST11;Wolfgang Aigner;0
series/hci/AignerMST11;Silvia Miksch;1
series/hci/AignerMST11;Heidrun Schumann;2
series/hci/AignerMST11;Christian Tominski;3
series/hci/Champion11;Erik Champion;0
series/hci/BernsenD10;Niels Ole Bernsen;0
series/hci/BernsenD10;Laila Dybkj?;1
series/hci/Kunert09;Tibor Kunert;0
series/hci/SalgadoLS13;Luciana Cardoso de Castro Salgado;0
series/hci/SalgadoLS13;Carla Faria Leit?;1
series/hci/SalgadoLS13;Clarisse Sieckenius de Souza;2
series/hci/Biswas14;Pradipta Biswas;0
series/hci/Reeves11;Stuart Reeves;0
series/hci/Obendorf09;Hartmut Obendorf;0
series/hci/CrabtreeRT12;Andrew Crabtree;0
series/hci/CrabtreeRT12;Mark Rouncefield;1
series/hci/CrabtreeRT12;Peter Tolmie;2
series/hci/Nielsen13;Lene Nielsen;0
series/hci/Bainbridge14;William Sims Bainbridge;0
series/acvpr/BowyerHF13;Kevin W. Bowyer;0
series/acvpr/BowyerHF13;Karen Hollingsworth;1
series/acvpr/BowyerHF13;Patrick J. Flynn;2
series/acvpr/978-1-4471-3724-5;Mohammed Bennamoun;0
series/acvpr/978-1-4471-3724-5;George J. Mamic;1
series/acvpr/ClarkKHR13;Antwan D. Clark;0
series/acvpr/ClarkKHR13;Scott A. Kulp;1
series/acvpr/ClarkKHR13;Isom H. Herron;2
series/acvpr/ClarkKHR13;A. A. Ross;3
series/acvpr/JillelaR13;Raghavender R. Jillela;0
series/acvpr/JillelaR13;Arun Abraham Ross;1
series/acvpr/Ackerman13;David A. Ackerman;0
series/acvpr/978-1-84800-128-2;Bir Bhanu;0
series/acvpr/978-1-84800-128-2;Hui Chen;1
series/acvpr/978-1-84800-278-4;Stan Z. Li;0
